name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Genoa,Italy",2022-07-16,28,25,26.7,31.1,25,28.6,22,75.2,0,0,0,,0,0,19.8,11.2,145.5,1015,38.2,10,302.4,25.9,9,60,2022-07-16T05:54:45,2022-07-16T21:05:28,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-17,30,24.9,27.8,34.4,24.9,30.3,21.7,70.4,0,0,0,,0,0,18.4,16.5,156.5,1017.3,11.5,10,293.4,25.4,9,60,2022-07-17T05:55:40,2022-07-17T21:04:43,0.62,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-07-18,36.6,27.9,30,37,29.2,33.3,21.5,62.5,0,0,0,,0,0,24.1,24.1,66.1,1018,17,10,307.1,26.6,9,10,2022-07-18T05:56:36,2022-07-18T21:03:55,0.65,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-19,32.6,27.6,29.7,33.8,28.2,31,18.6,52.2,0,0,0,,0,0,22.7,24.1,61.2,1017.3,15.8,10,302.4,25.8,8,10,2022-07-19T05:57:33,2022-07-19T21:03:06,0.69,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-20,32.6,28.9,29.9,33.4,28.5,30.9,17.7,48.6,0,0,0,,0,0,22,18.4,83.5,1016.8,9.8,10,304.2,26.1,9,10,2022-07-20T05:58:31,2022-07-20T21:02:14,0.75,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-21,29,26,28,34.5,26,30.7,20.2,64.5,0,0,0,,0,0,19.8,11.2,133.1,1016.1,38.4,10,308.7,26.7,9,30,2022-07-21T05:59:30,2022-07-21T21:01:21,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-22,29,26,27.8,33.4,26,30.6,22.7,74.1,0,0,0,,0,0,18.4,9.4,150.7,1015.9,41.1,10,283.8,24.5,9,60,2022-07-22T06:00:29,2022-07-22T21:00:25,0.79,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-23,27.9,26.9,27.6,31.8,29.1,31,23.4,77.9,0,0,0,rain,0,0,29.5,24.1,134.5,1015.7,47.2,10,285.5,24.7,9,60,2022-07-23T06:01:30,2022-07-23T20:59:28,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-24,29,26.9,28,32.7,29.5,31.4,23.2,74.9,0.195,100,4.17,rain,0,0,21.2,20.4,156.9,1015.9,38.3,10,251,21.8,8,60,2022-07-24T06:02:31,2022-07-24T20:58:29,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-07-25,29,26,27.6,33.5,26,30.6,23.1,76.3,0,0,0,,0,0,26.6,14.9,172.2,1014,42.3,10,251.1,21.7,8,30,2022-07-25T06:03:33,2022-07-25T20:57:27,0.89,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"D9691,16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
